Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Create and delete a product from vendor,Chrome 69.0.3497.100,"Login to dashboard, create 1 product, delete that product again and then logout.",2018-10-08 17:28:38,2018-10-08 17:30:18,"1m - 39,532s",FAILED
,,,,,,
Test Cases/Login staging2,Chrome 69.0.3497.100,,2018-10-08 17:28:39,2018-10-08 17:29:11,"31,659s",PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-08 17:28:40,2018-10-08 17:28:43,"3,512s",PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-08 17:28:43,2018-10-08 17:28:44,"0,365s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 17:28:44,2018-10-08 17:29:00,"16,292s",PASSED
navigateToUrl,Chrome 69.0.3497.100,,2018-10-08 17:29:00,2018-10-08 17:29:04,"3,777s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:29:04,2018-10-08 17:29:04,"0,365s",PASSED
setEncryptedText,Chrome 69.0.3497.100,,2018-10-08 17:29:04,2018-10-08 17:29:05,"0,549s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:05,2018-10-08 17:29:11,"6,208s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:11,2018-10-08 17:29:11,"0,005s",NOT_RUN
,,,,,,
Test Cases/Opret simpelt produkt,Chrome 69.0.3497.100,,2018-10-08 17:29:11,2018-10-08 17:29:25,"14,640s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:11,2018-10-08 17:29:11,"0,165s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:11,2018-10-08 17:29:20,"8,650s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:29:20,2018-10-08 17:29:20,"0,537s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:29:20,2018-10-08 17:29:21,"0,193s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:21,2018-10-08 17:29:21,"0,190s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:29:21,2018-10-08 17:29:21,"0,401s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:21,2018-10-08 17:29:21,"0,173s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:21,2018-10-08 17:29:22,"0,190s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:22,2018-10-08 17:29:22,"0,498s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:22,2018-10-08 17:29:22,"0,244s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:22,2018-10-08 17:29:24,"1,712s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:24,2018-10-08 17:29:24,"0,221s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:24,2018-10-08 17:29:24,"0,214s",PASSED
waitForElementClickable,Chrome 69.0.3497.100,,2018-10-08 17:29:24,2018-10-08 17:29:25,"0,196s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:25,2018-10-08 17:29:25,"0,244s",PASSED
setText,Chrome 69.0.3497.100,,2018-10-08 17:29:25,2018-10-08 17:29:25,"0,219s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:25,2018-10-08 17:29:25,"0,266s",PASSED
,,,,,,
Test Cases/Slet simpelt produkt,Chrome 69.0.3497.100,,2018-10-08 17:29:25,2018-10-08 17:30:06,"40,925s",FAILED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:26,2018-10-08 17:29:26,"0,183s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:26,2018-10-08 17:29:33,"7,037s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:29:33,2018-10-08 17:30:06,"33,415s",FAILED
,,,,,,
Test Cases/Logout staging2,Chrome 69.0.3497.100,This step logs out vendor from vendor dashboard,2018-10-08 17:30:06,2018-10-08 17:30:18,"11,428s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:30:07,2018-10-08 17:30:07,"0,141s",PASSED
click,Chrome 69.0.3497.100,,2018-10-08 17:30:07,2018-10-08 17:30:18,"11,088s",PASSED
